                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0252,                0.19444,                0.54167,                 3.0336,              7.854e-05,              7.854e-05,              7.854e-05
                      2,                 2.6217,                0.30556,                0.72222,                 3.0061,             0.00016016,             0.00016016,             0.00016016
                      3,                 2.2481,                0.36111,                0.70833,                 2.9343,             0.00023753,             0.00023753,             0.00023753
                      4,                 1.9554,                0.38889,                0.70833,                 2.8663,             0.00031066,             0.00031066,             0.00031066
                      5,                 1.7292,                0.47222,                0.70833,                 2.8059,             0.00037956,             0.00037956,             0.00037956
                      6,                 1.6362,                0.47222,                0.72222,                 2.7862,             0.00044421,             0.00044421,             0.00044421
                      7,                 1.4468,                0.54167,                0.73611,                 2.7652,             0.00050462,             0.00050462,             0.00050462
                      8,                 1.3262,                0.61111,                0.73611,                 2.7323,             0.00056078,             0.00056078,             0.00056078
                      9,                 1.1335,                0.61111,                0.77778,                 2.6176,             0.00057263,             0.00057263,             0.00057263
                     10,                 1.0849,                0.65278,                0.79167,                 2.6212,             0.00055496,             0.00055496,             0.00055496
                     11,                0.92932,                0.63889,                0.80556,                 2.6405,             0.00053728,             0.00053728,             0.00053728
                     12,                0.86413,                0.66667,                0.81944,                 2.5802,             0.00051961,             0.00051961,             0.00051961
                     13,                0.79217,                0.68056,                0.84722,                 2.5437,             0.00050194,             0.00050194,             0.00050194
                     14,                 0.6777,                0.65278,                0.86111,                 2.5483,             0.00048427,             0.00048427,             0.00048427
                     15,                0.63511,                0.66667,                  0.875,                 2.5357,              0.0004666,              0.0004666,              0.0004666
                     16,                0.56503,                0.63889,                0.88889,                 2.4977,             0.00044893,             0.00044893,             0.00044893
                     17,                0.56837,                0.65278,                0.88889,                 2.5056,             0.00043126,             0.00043126,             0.00043126
                     18,                0.52143,                0.69444,                0.88889,                 2.5226,             0.00041358,             0.00041358,             0.00041358
                     19,                0.43336,                0.66667,                0.88889,                  2.476,             0.00039591,             0.00039591,             0.00039591
                     20,                0.42742,                0.66667,                  0.875,                 2.5086,             0.00037824,             0.00037824,             0.00037824
                     21,                0.40453,                0.66667,                0.88889,                 2.5119,             0.00036057,             0.00036057,             0.00036057
                     22,                0.40906,                0.72222,                0.91667,                 2.5056,              0.0003429,              0.0003429,              0.0003429
                     23,                0.35916,                0.70833,                0.91667,                 2.5528,             0.00032523,             0.00032523,             0.00032523
                     24,                0.30806,                0.70833,                0.91667,                 2.4792,             0.00030756,             0.00030756,             0.00030756
                     25,                0.41736,                0.70833,                0.93056,                 2.4898,             0.00028988,             0.00028988,             0.00028988
                     26,                0.28021,                0.72222,                0.93056,                 2.5098,             0.00027221,             0.00027221,             0.00027221
                     27,                0.29901,                   0.75,                0.93056,                 2.4651,             0.00025454,             0.00025454,             0.00025454
                     28,                0.24717,                0.73611,                0.91667,                 2.5292,             0.00023687,             0.00023687,             0.00023687
                     29,                0.26794,                0.76389,                0.91667,                 2.4672,              0.0002192,              0.0002192,              0.0002192
                     30,                0.23899,                0.76389,                0.93056,                 2.4526,             0.00020153,             0.00020153,             0.00020153
                     31,                0.29063,                0.77778,                0.93056,                 2.4567,             0.00018385,             0.00018385,             0.00018385
                     32,                 0.3016,                0.73611,                0.93056,                 2.4188,             0.00016618,             0.00016618,             0.00016618
                     33,                0.18846,                   0.75,                0.93056,                 2.4867,             0.00014851,             0.00014851,             0.00014851
                     34,                0.24092,                0.77778,                0.93056,                 2.4512,             0.00013084,             0.00013084,             0.00013084
                     35,                0.21129,                0.77778,                0.93056,                 2.4982,             0.00011317,             0.00011317,             0.00011317
                     36,                0.24686,                0.76389,                0.93056,                 2.5243,             9.5498e-05,             9.5498e-05,             9.5498e-05
                     37,                0.22344,                0.80556,                0.93056,                 2.4158,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     38,                0.23751,                0.79167,                0.93056,                 2.4359,             6.0154e-05,             6.0154e-05,             6.0154e-05
                     39,                0.24186,                0.77778,                0.94444,                 2.4742,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     40,                 0.1957,                0.79167,                0.91667,                 2.4144,             2.4812e-05,             2.4812e-05,             2.4812e-05
